id,geo_name,est_median_rent,moe_median_rent
8600000US01088,ZCTA5_01088,738.00,150.00
8600000US01089,ZCTA5_01089,822.00,27.00
8600000US01092,ZCTA5_01092,633.00,86.00
8600000US01093,ZCTA5_01093,,
8600000US01094,ZCTA5_01094,368.00,209.00
8600000US01095,ZCTA5_01095,576.00,139.00
8600000US01096,ZCTA5_01096,929.00,69.00
8600000US01097,ZCTA5_01097,,
8600000US01098,ZCTA5_01098,663.00,137.00
8600000US01103,ZCTA5_01103,744.00,257.00
8600000US01104,ZCTA5_01104,706.00,107.00
8600000US01105,ZCTA5_01105,676.00,79.00
8600000US01106,ZCTA5_01106,1441.00,198.00
8600000US01107,ZCTA5_01107,518.00,202.00
8600000US01108,ZCTA5_01108,828.00,20.00
8600000US01109,ZCTA5_01109,739.00,52.00
8600000US01118,ZCTA5_01118,837.00,110.00
8600000US01119,ZCTA5_01119,718.00,39.00
8600000US01128,ZCTA5_01128,,
8600000US01129,ZCTA5_01129,980.00,89.00
8600000US01151,ZCTA5_01151,868.00,58.00
8600000US01199,ZCTA5_01199,,
8600000US01201,ZCTA5_01201,738.00,19.00
8600000US01220,ZCTA5_01220,670.00,44.00
8600000US01222,ZCTA5_01222,1109.00,827.00
8600000US01223,ZCTA5_01223,1027.00,552.00
8600000US01224,ZCTA5_01224,,
8600000US01225,ZCTA5_01225,958.00,273.00
8600000US01226,ZCTA5_01226,791.00,67.00
8600000US01229,ZCTA5_01229,,
8600000US01230,ZCTA5_01230,848.00,94.00
8600000US01235,ZCTA5_01235,713.00,91.00
8600000US01236,ZCTA5_01236,1042.00,746.00
8600000US01237,ZCTA5_01237,1091.00,313.00
8600000US01238,ZCTA5_01238,794.00,101.00
8600000US01240,ZCTA5_01240,902.00,191.00
8600000US01242,ZCTA5_01242,,
8600000US01243,ZCTA5_01243,,
8600000US01244,ZCTA5_01244,,
8600000US01245,ZCTA5_01245,983.00,621.00
8600000US01247,ZCTA5_01247,689.00,69.00
8600000US01253,ZCTA5_01253,,
8600000US01254,ZCTA5_01254,,
8600000US01255,ZCTA5_01255,,
8600000US01256,ZCTA5_01256,542.00,98.00
